iata,icao,state
TMR,DAAT,Algiers
GJL,DAAV,Algiers
MZW,DAAY,Algiers
\N,DAAZ,Algiers
AAE,DABB,Algiers
CZL,DABC,Algiers
TEE,DABS,Algiers
HRM,DAFH,Algiers
TID,DAOB,Algiers
\N,DAOE,Algiers
TIN,DAOF,Algiers
CFK,DAOI,Algiers
TAF,DAOL,Algiers
TLM,DAON,Algiers
ORN,DAOO,Algiers
BFW,DAOS,Algiers
MUW,DAOV,Algiers
AZR,DAUA,Algiers
BSK,DAUB,Algiers
ELG,DAUE,Algiers
GHA,DAUG,Algiers
HME,DAUH,Algiers
INZ,DAUI,Algiers
TGR,DAUK,Algiers
LOO,DAUL,Algiers
TMX,DAUT,Algiers
OGX,DAUU,Algiers
IAM,DAUZ,Algiers
COO,DBBB,Porto-Novo
OUA,DFFD,Ouagadougou
BOY,DFOO,Ouagadougou
ACC,DGAA,Accra
TML,DGLE,Accra
\N,DGLW,Accra
NYI,DGSN,Accra
TKD,DGTK,Accra
ABJ,DIAP,Abidjan
BYK,DIBK,Abidjan
DJO,DIDL,Abidjan
HGO,DIKO,Abidjan
MJC,DIMN,Abidjan
SPY,DISP,Abidjan
ASK,DIYO,Abidjan
ABV,DNAA,Lagos
AKR,DNAK,Lagos
BNI,DNBE,Lagos
CBQ,DNCA,Lagos
ENU,DNEN,Lagos
\N,DNGU,Lagos
IBA,DNIB,Lagos
ILR,DNIL,Lagos
JOS,DNJO,Lagos
KAD,DNKA,Lagos
KAN,DNKN,Lagos
MIU,DNMA,Lagos
MDI,DNMK,Lagos
LOS,DNMM,Lagos
MXJ,DNMN,Lagos
PHC,DNPO,Lagos
SKO,DNSO,Lagos
YOL,DNYO,Lagos
ZAR,DNZA,Lagos
MFQ,DRRM,Niamey
NIM,DRRN,Niamey
THZ,DRRT,Niamey
AJY,DRZA,Niamey
\N,DRZD,Niamey
\N,DRZF,Niamey
ZND,DRZR,Niamey
MIR,DTMB,Tunis
TUN,DTTA,Tunis
\N,DTTB,Tunis
\N,DTTD,Tunis
GAF,DTTF,Tunis
GAE,DTTG,Tunis
\N,DTTI,Tunis
DJE,DTTJ,Tunis
EBM,DTTR,Tunis
SFA,DTTX,Tunis
TOE,DTTZ,Tunis
LRL,DXNG,Lome
LFW,DXXX,Lome
ANR,EBAW,Brussels
\N,EBBE,Brussels
\N,EBBL,Brussels
BRU,EBBR,Brussels
