iata,icao,state
GWE,FVTL,Harare
HWN,FVWN,Harare
BLZ,FWCL,Blantyre
KGJ,FWKA,Blantyre
KBQ,FWKG,Blantyre
LLW,FWKI,Blantyre
ZZU,FWUU,Blantyre
MSU,FXMM,Maseru
\N,FXMU,Maseru
FIH,FZAA,Kinshasa
NLO,FZAB,Kinshasa
MNB,FZAG,Kinshasa
\N,FZAI,Kinshasa
FDU,FZBO,Kinshasa
KKW,FZCA,Kinshasa
MDK,FZEA,Kinshasa
BDT,FZFD,Kinshasa
GMA,FZFK,Kinshasa
KLI,FZFP,Kinshasa
LIQ,FZGA,Kinshasa
FKI,FZIC,Lubumbashi
IRP,FZJH,Lubumbashi
BUX,FZKA,Lubumbashi
BZU,FZKJ,Lubumbashi
BKY,FZMA,Lubumbashi
GOM,FZNA,Kigali
KND,FZOA,Lubumbashi
FBM,FZQA,Lubumbashi
KWZ,FZQM,Lubumbashi
FMI,FZRF,Lubumbashi
KMN,FZSA,Lubumbashi
KGA,FZUA,Lubumbashi
MJM,FZWA,Lubumbashi
BKO,GABS,Bamako
GAQ,GAGO,Bamako
KYS,GAKY,Bamako
MZI,GAMB,Bamako
TOM,GATB,Bamako
\N,GATS,Bamako
BJL,GBYD,Banjul
FUE,GCFV,Canary
VDE,GCHI,Canary
SPC,GCLA,Canary
LPA,GCLP,Canary
ACE,GCRR,Canary
TFS,GCTS,Canary
TFN,GCXO,Canary
MLN,GEML,Madrid
FNA,GFLL,Freetown
\N,GGCF,Bissau
MLW,GLMR,Monrovia
ROB,GLRB,Monrovia
AGA,GMAD,Casablanca
TTA,GMAT,Casablanca
FEZ,GMFF,Casablanca
\N,GMFI,Casablanca
ERH,GMFK,Casablanca
MEK,GMFM,Casablanca
OUD,GMFO,Casablanca
GMD,GMMB,Casablanca
RBA,GMME,Casablanca
CMN,GMMN,Casablanca
RAK,GMMX,Casablanca
NNA,GMMY,Casablanca
OZZ,GMMZ,Casablanca
AHU,GMTA,Casablanca
TTU,GMTN,Casablanca
TNG,GMTT,Casablanca
ZIG,GOGG,Dakar
CSK,GOGS,Dakar
KLC,GOOK,Dakar
DKR,GOOY,Dakar
XLS,GOSS,Dakar
BXE,GOTB,Dakar
KGG,GOTK,Dakar
TUD,GOTT,Dakar
AEO,GQNA,Nouakchott
TIY,GQND,Nouakchott
KFA,GQNF,Nouakchott
EMN,GQNI,Nouakchott
KED,GQNK,Nouakchott
NKC,GQNO,Nouakchott
SEY,GQNS,Nouakchott
ATR,GQPA,Nouakchott
NDB,GQPP,Nouakchott
\N,GQPT,Nouakchott
FIG,GUFA,Conakry
FAA,GUFH,Conakry
LEK,GULB,Conakry
SID,GVAC,Cape_Verde
BVC,GVBA,Cape_Verde
MMO,GVMA,Cape_Verde
SNE,GVSN,Cape_Verde
VXE,GVSV,Cape_Verde
ADD,HAAB,Addis_Ababa
\N,HAAL,Addis_Ababa
AMH,HAAM,Addis_Ababa
AXU,HAAX,Addis_Ababa
BJR,HABD,Addis_Ababa
DIR,HADR,Addis_Ababa
GMB,HAGM,Addis_Ababa
GDQ,HAGN,Addis_Ababa
JIM,HAJM,Addis_Ababa
LLI,HALL,Addis_Ababa
MQX,HAMK,Addis_Ababa
ASO,HASO,Addis_Ababa
BJM,HBBA,Bujumbura
HGA,HCMH,Mogadishu
BBO,HCMI,Mogadishu
KMU,HCMK,Mogadishu
ALY,HEAX,Cairo
ABS,HEBL,Cairo
CAI,HECA,Cairo
CWE,HECW,Cairo
HRG,HEGN,Cairo
EGH,HEGR,Cairo
LXR,HELX,Cairo
MUH,HEMM,Cairo
PSD,HEPS,Cairo
SKV,HESC,Cairo
ASW,HESN,Cairo
ELT,HETR,Cairo
EDL,HKEL,Nairobi
GGM,HKKG,Nairobi
KIS,HKKI,Nairobi
KTL,HKKT,Nairobi
LOK,HKLO,Nairobi
LAU,HKLU,Nairobi
MBA,HKMO,Nairobi
\N,HKNV,Nairobi
WIL,HKNW,Nairobi
\N,HKRE,Nairobi
WJR,HKWJ,Nairobi
\N,HLFL,Tripoli
\N,HLGL,Tripoli
GHT,HLGT,Tripoli
AKF,HLKF,Tripoli
BEN,HLLB,Tripoli
SEB,HLLS,Tripoli
TIP,HLLT,Tripoli
LMQ,HLMB,Tripoli
\N,HLNF,Tripoli
HUQ,HLON,Tripoli
\N,HLRA,Tripoli
LTD,HLTD,Tripoli
\N,HLZA,Tripoli
GYI,HRYG,Kigali
KGL,HRYR,Kigali
KME,HRZA,Kigali
DOG,HSDN,Khartoum
RSS,HSDZ,Khartoum
ELF,HSFS,Khartoum
KSL,HSKA,Khartoum
KDX,HSLI,Khartoum
EBD,HSOB,Khartoum
JUB,HSSJ,Juba
MAK,HSSM,Juba
KRT,HSSS,Khartoum
ARK,HTAR,Dar_es_Salaam
DAR,HTDA,Dar_es_Salaam
DOD,HTDO,Dar_es_Salaam
IRI,HTIR,Dar_es_Salaam
JRO,HTKJ,Dar_es_Salaam
LKY,HTLM,Dar_es_Salaam
MYW,HTMT,Dar_es_Salaam
MWZ,HTMW,Dar_es_Salaam
PMA,HTPE,Dar_es_Salaam
TGT,HTTG,Dar_es_Salaam
ZNZ,HTZA,Dar_es_Salaam
EBB,HUEN,Kampala
SRT,HUSO,Kampala
TIA,LATI,Tirane
BOJ,LBBG,Sofia
GOZ,LBGO,Sofia
PDV,LBPD,Sofia
SOF,LBSF,Sofia
SZR,LBSZ,Sofia
VAR,LBWN,Sofia
LCA,LCLK,Nicosia
PFO,LCPH,Nicosia
AKT,LCRA,London
DBV,LDDU,Zagreb
\N,LDOC,Zagreb
OSI,LDOS,Zagreb
PUY,LDPL,Zagreb
\N,LDRG,Zagreb
RJK,LDRI,Zagreb
SPU,LDSP,Zagreb
\N,LDVA,Zagreb
ZAG,LDZA,Zagreb
ZAD,LDZD,Zagreb
\N,LDZU,Zagreb
ABC,LEAB,Madrid
ALC,LEAL,Madrid
LEI,LEAM,Madrid
OVD,LEAS,Madrid
ODB,LEBA,Madrid
BIO,LEBB,Madrid
BCN,LEBL,Madrid
BJZ,LEBZ,Madrid
LCG,LECO,Madrid
\N,LEGA,Madrid
GRO,LEGE,Madrid
GRX,LEGR,Madrid
\N,LEGT,Madrid
IBZ,LEIB,Madrid
XRY,LEJR,Madrid
MJV,LELC,Madrid
MAD,LEMD,Madrid
AGP,LEMG,Madrid
MAH,LEMH,Madrid
OZP,LEMO,Madrid
\N,LEOC,Madrid
PNA,LEPP,Madrid
\N,LERI,Madrid
REU,LERS,Madrid
ROZ,LERT,Madrid
SLM,LESA,Madrid
\N,LESB,Madrid
\N,LESL,Madrid
EAS,LESO,Madrid
SCQ,LEST,Madrid
LEU,LESU,Madrid
TOJ,LETO,Madrid
VLC,LEVC,Madrid
VLL,LEVD,Madrid
VIT,LEVT,Madrid
VGO,LEVX,Madrid
SDR,LEXJ,Madrid
ZAZ,LEZG,Madrid
SVQ,LEZL,Madrid
CQF,LFAC,Paris
\N,LFAG,Paris
\N,LFAI,Paris
\N,LFAO,Paris
BYF,LFAQ,Paris
LTQ,LFAT,Paris
XVS,LFAV,Paris
\N,LFAY,Paris
AGF,LFBA,Paris
\N,LFBC,Paris
BOD,LFBD,Paris
EGC,LFBE,Paris
\N,LFBF,Paris
CNG,LFBG,Paris
PIS,LFBI,Paris
MCU,LFBK,Paris
LIG,LFBL,Paris
\N,LFBM,Paris
NIT,LFBN,Paris
TLS,LFBO,Paris
PUF,LFBP,Paris
\N,LFBR,Paris
LDE,LFBT,Paris
ANG,LFBU,Paris
BVE,LFSL,Paris
PGX,LFBX,Paris
BIQ,LFBZ,Paris
ZAO,LFCC,Paris
\N,LFCG,Paris
\N,LFCH,Paris
LBI,LFCI,Paris
DCM,LFCK,Paris
\N,LFCL,Paris
\N,LFCM,Paris
\N,LFCQ,Paris
RDZ,LFCR,Paris
\N,LFCU,Paris
\N,LFCW,Paris
RYN,LFCY,Paris
\N,LFCZ,Paris
\N,LFDA,Paris
XMW,LFDB,Paris
\N,LFDH,Paris
\N,LFDI,Paris
\N,LFDJ,Paris
\N,LFDM,Paris
RCO,LFDN,Paris
\N,LFED,Paris
\N,LFEH,Paris
\N,LFES,Paris
\N,LFFI,Paris
\N,LFFN,Paris
CMR,LFGA,Paris
\N,LFGF,Paris
DLE,LFGJ,Paris
\N,LFGK,Paris
\N,LFGW,Paris
OBS,LFHO,Paris
LPY,LFHP,Paris
\N,LFHQ,Paris
\N,LFHS,Paris
\N,LFHV,Paris
\N,LFHY,Paris
\N,LFIF,Paris
\N,LFIG,Paris
ETZ,LFJL,Paris
BIA,LFKB,Paris
CLY,LFKC,Paris
FSC,LFKF,Paris
AJA,LFKJ,Paris
PRP,LFKO,Paris
SOZ,LFKS,Paris
\N,LFKT,Paris
AUF,LFLA,Paris
CMF,LFLB,Paris
CFE,LFLC,Paris
BOU,LFLD,Paris
\N,LFLE,Paris
\N,LFLH,Paris
QNJ,LFLI,Paris
LYS,LFLL,Paris
\N,LFLM,Paris
SYT,LFLN,Paris
RNE,LFLO,Paris
NCY,LFLP,Paris
GNB,LFLS,Paris
\N,LFLT,Paris
VAF,LFLU,Paris
VHY,LFLV,Paris
AUR,LFLW,Paris
CHR,LFLX,Paris
LYN,LFLY,Paris
\N,LFMA,Paris
\N,LFMC,Paris
CEQ,LFMD,Paris
EBU,LFMH,Paris
\N,LFMI,Paris
CCF,LFMK,Paris
MRS,LFML,Paris
NCE,LFMN,Paris
XOG,LFMO,Paris
PGF,LFMP,Paris
CTT,LFMQ,Paris
\N,LFMS,Paris
MPL,LFMT,Paris
BZR,LFMU,Paris
AVN,LFMV,Paris
\N,LFMY,Paris
\N,LFMZ,Paris
MEN,LFNB,Paris
\N,LFNH,Paris
\N,LFOA,Paris
BVA,LFOB,Paris
\N,LFOC,Paris
\N,LFOD,Paris
EVX,LFOE,Paris
LEH,LFOH,Paris
XAB,LFOI,Paris
ORE,LFOJ,Paris
XCR,LFOK,Paris
URO,LFOP,Paris
TUF,LFOT,Paris
CET,LFOU,Paris
LVA,LFOV,Paris
\N,LFOZ,Paris
LBG,LFPB,Paris
CSF,LFPC,Paris
CDG,LFPG,Paris
\N,LFPK,Paris
\N,LFPM,Paris
TNF,LFPN,Paris
ORY,LFPO,Paris
POX,LFPT,Paris
VIY,LFPV,Paris
\N,LFQA,Paris
\N,LFQB,Paris
\N,LFQC,Paris
\N,LFQE,Paris
\N,LFQF,Paris
NVS,LFQG,Paris
\N,LFQI,Paris
XME,LFQJ,Paris
\N,LFQM,Paris
\N,LFQP,Paris
LIL,LFQQ,Paris
HZB,LFQT,Paris
XCZ,LFQV,Paris
\N,LFQW,Paris
BES,LFRB,Paris
CER,LFRC,Paris
DNR,LFRD,Paris
LBY,LFRE,Paris
GFR,LFRF,Paris
DOL,LFRG,Paris
LRT,LFRH,Paris
EDM,LFRI,Paris
LDV,LFRJ,Paris
CFR,LFRK,Paris
\N,LFRL,Paris
LME,LFRM,Paris
RNS,LFRN,Paris
LAI,LFRO,Paris
UIP,LFRQ,Paris
NTE,LFRS,Paris
SBK,LFRT,Paris
MXN,LFRU,Paris
VNE,LFRV,Paris
SNR,LFRZ,Paris
BSL,LFSB,Paris
\N,LFSC,Paris
DIJ,LFSD,Paris
MZM,LFSF,Paris
EPL,LFSG,Paris
\N,LFSH,Paris
\N,LFSI,Paris
\N,LFSM,Paris
ENC,LFSN,Paris
\N,LFSO,Paris
\N,LFSP,Paris
RHE,LFSR,Paris
SXB,LFST,Paris
\N,LFSX,Paris
\N,LFTF,Paris
TLN,LFTH,Paris
FNI,LFTW,Paris
MQC,LFVM,Miquelon
FSP,LFVP,Miquelon
\N,LFXA,Paris
\N,LFYD,Paris
PYR,LGAD,Athens
AGQ,LGAG,Athens
AXD,LGAL,Athens
\N,LGAX,Athens
VOL,LGBL,Athens
\N,LGEL,Athens
JKH,LGHI,Athens
IOA,LGIO,Athens
HER,LGIR,Athens
KSO,LGKA,Athens
KIT,LGKC,Athens
EFL,LGKF,Athens
KLX,LGKL,Athens
\N,LGKM,Athens
KGS,LGKO,Athens
AOK,LGKP,Athens
CFU,LGKR,Athens
KSJ,LGKS,Athens
KVA,LGKV,Athens
KZI,LGKZ,Athens
LRS,LGLE,Athens
LXS,LGLM,Athens
LRA,LGLR,Athens
\N,LGMG,Athens
JMK,LGMK,Athens
MJT,LGMT,Athens
PVK,LGPZ,Athens
\N,LGRD,Athens
RHO,LGRP,Athens
GPA,LGRX,Athens
CHQ,LGSA,Athens
JSI,LGSK,Athens
SMI,LGSM,Athens
SPJ,LGSP,Athens
JTR,LGSR,Athens
JSH,LGST,Athens
\N,LGSV,Athens
SKU,LGSY,Athens
\N,LGTG,Athens
\N,LGTL,Athens
\N,LGTP,Athens
SKG,LGTS,Athens
\N,LGTT,Athens
ZTH,LGZA,Athens
BUD,LHBP,Budapest
DEB,LHDC,Budapest
\N,LHKE,Budapest
\N,LHNY,Budapest
\N,LHOY,Budapest
\N,LHSA,Budapest
\N,LHSN,Budapest
\N,LIBA,Rome
CRV,LIBC,Rome
BRI,LIBD,Rome
FOG,LIBF,Rome
TAR,LIBG,Rome
LCC,LIBN,Rome
PSR,LIBP,Rome
BDS,LIBR,Rome
\N,LIBV,Rome
SUF,LICA,Rome
CTA,LICC,Rome
LMP,LICD,Rome
PNL,LICG,Rome
PMO,LICJ,Rome
\N,LICP,Rome
REG,LICR,Rome
TPS,LICT,Rome
NSY,LICZ,Rome
AHO,LIEA,Rome
DCI,LIED,Rome
CAG,LIEE,Rome
OLB,LIEO,Rome
TTB,LIET,Rome
\N,LIMA,Rome
\N,LIMB,Rome
MXP,LIMC,Rome
BGY,LIME,Rome
TRN,LIMF,Rome
ALL,LIMG,Rome
GOA,LIMJ,Rome
LIN,LIML,Rome
\N,LIMN,Rome
PMF,LIMP,Rome
\N,LIMS,Rome
CUF,LIMZ,Rome
AVB,LIPA,Rome
BZO,LIPB,Rome
\N,LIPC,Rome
BLQ,LIPE,Rome
TSF,LIPH,Rome
\N,LIPI,Rome
FRL,LIPK,Rome
\N,LIPL,Rome
\N,LIPN,Rome
VBS,LIPO,Rome
TRS,LIPQ,Rome
RMI,LIPR,Rome
\N,LIPS,Rome
VIC,LIPT,Rome
QPA,LIPU,Rome
VRN,LIPX,Rome
VCE,LIPZ,Rome
SAY,LIQS,Rome
CIA,LIRA,Rome
\N,LIRE,Rome
FCO,LIRF,Rome
\N,LIRG,Rome
EBA,LIRJ,Rome
QLT,LIRL,Rome
\N,LIRM,Rome
NAP,LIRN,Rome
PSA,LIRP,Rome
FLR,LIRQ,Rome
GRS,LIRS,Rome
\N,LIRU,Rome
\N,LIRV,Rome
PEG,LIRZ,Rome
\N,LJCE,Ljubljana
LJU,LJLJ,Ljubljana
MBX,LJMB,Ljubljana
POW,LJPZ,Ljubljana
\N,LJSG,Ljubljana
\N,LKCS,Prague
\N,LKCV,Prague
\N,LKHK,Prague
\N,LKHV,Prague
\N,LKKB,Prague
UHE,LKKU,Prague
KLV,LKKV,Prague
\N,LKLN,Prague
\N,LKMH,Prague
OSR,LKMT,Prague
\N,LKNA,Prague
PED,LKPD,Prague
\N,LKPM,Prague
PRV,LKPO,Prague
PRG,LKPR,Prague
BRQ,LKTB,Prague
VOD,LKVO,Prague
TLV,LLBG,Jerusalem
BEV,LLBS,Jerusalem
\N,LLEK,Jerusalem
\N,LLES,Jerusalem
ETH,LLET,Jerusalem
EIY,LLEY,Jerusalem
HFA,LLHA,Jerusalem
\N,LLHS,Jerusalem
RPN,LLIB,Jerusalem
\N,LLMG,Jerusalem
MTZ,LLMZ,Jerusalem
VTM,LLNV,Jerusalem
VDA,LLOV,Jerusalem
\N,LLRD,Jerusalem
MIP,LLRM,Jerusalem
SDV,LLSD,Jerusalem
MLA,LMML,Malta
\N,LOAN,Vienna
\N,LOLW,Vienna
GRZ,LOWG,Vienna
INN,LOWI,Vienna
LNZ,LOWL,Vienna
SZG,LOWS,Vienna
VIE,LOWW,Vienna
\N,LOXZ,Vienna
AVR,LPAR,Lisbon
SMA,LPAZ,Azores
BGC,LPBG,Lisbon
BYJ,LPBJ,Lisbon
BGZ,LPBR,Lisbon
\N,LPCO,Lisbon
CAT,LPCS,Lisbon
\N,LPCV,Lisbon
\N,LPEV,Lisbon
FLW,LPFL,Azores
FAO,LPFR,Lisbon
GRW,LPGR,Azores
HOR,LPHR,Azores
TER,LPLA,Azores
QLR,LPMR,Lisbon
\N,LPMT,Lisbon
\N,LPOV,Lisbon
PDL,LPPD,Azores
PIX,LPPI,Azores
PRM,LPPM,Lisbon
OPO,LPPR,Lisbon
PXO,LPPS,Lisbon
LIS,LPPT,Lisbon
SJZ,LPSJ,Azores
\N,LPST,Lisbon
\N,LPTN,Lisbon
VRL,LPVR,Lisbon
VSE,LPVZ,Lisbon
OMO,LQMO,Sarajevo
SJJ,LQSA,Sarajevo
ARW,LRAR,Bucharest
BCM,LRBC,Bucharest
BAY,LRBM,Bucharest
BBU,LRBS,Bucharest
CND,LRCK,Bucharest
CLJ,LRCL,Bucharest
CSB,LRCS,Bucharest
CRA,LRCV,Bucharest
IAS,LRIA,Bucharest
OMR,LROD,Bucharest
OTP,LROP,Bucharest
SBZ,LRSB,Bucharest
SUJ,LRSM,Bucharest
SCV,LRSV,Bucharest
TCE,LRTC,Bucharest
TGM,LRTM,Bucharest
TSR,LRTR,Bucharest
\N,LSGC,Zurich
GVA,LSGG,Paris
\N,LSGK,Zurich
SIR,LSGS,Zurich
\N,LSMA,Zurich
\N,LSMD,Zurich
EML,LSME,Zurich
\N,LSMF,Zurich
\N,LSMM,Zurich
\N,LSMP,Zurich
LUG,LSZA,Zurich
BRN,LSZB,Zurich
ZHI,LSZG,Zurich
ZRH,LSZH,Zurich
ACH,LSZR,Zurich
SMV,LSZS,Zurich
\N,LTAB,Istanbul
ESB,LTAC,Istanbul
ANK,LTAD,Istanbul
\N,LTAE,Istanbul
ADA,LTAF,Istanbul
UAB,LTAG,Istanbul
AFY,LTAH,Istanbul
AYT,LTAI,Istanbul
GZT,LTAJ,Istanbul
\N,LTAK,Istanbul
KYA,LTAN,Istanbul
\N,LTAO,Istanbul
MZH,LTAP,Istanbul
VAS,LTAR,Istanbul
MLX,LTAT,Istanbul
ASR,LTAU,Istanbul
\N,LTAV,Istanbul
TJK,LTAW,Istanbul
DNZ,LTAY,Istanbul
ISL,LTBA,Istanbul
BZI,LTBF,Istanbul
BDM,LTBG,Istanbul
ESK,LTBI,Istanbul
ADB,LTBJ,Istanbul
\N,LTBK,Istanbul
IGL,LTBL,Istanbul
\N,LTBM,Istanbul
\N,LTBN,Istanbul
\N,LTBP,Istanbul
KCO,LTBQ,Istanbul
DLM,LTBS,Istanbul
\N,LTBT,Istanbul
BXN,LTBV,Istanbul
\N,LTBX,Istanbul
EZS,LTCA,Istanbul
DIY,LTCC,Istanbul
ERC,LTCD,Istanbul
ERZ,LTCE,Istanbul
TZX,LTCG,Istanbul
VAN,LTCI,Istanbul
BAL,LTCJ,Istanbul
SXZ,LTCL,Istanbul
\N,LTFA,Istanbul
\N,LTFB,Istanbul
BZY,LUBL,Chisinau
KIV,LUKK,Chisinau
OHD,LWOH,Skopje
SKP,LWSK,Skopje
GIB,LXGB,Gibraltar
BEG,LYBE,Belgrade
INI,LYNI,Belgrade
TGD,LYPG,Podgorica
PRN,BKPR,Belgrade
TIV,LYTV,Podgorica
\N,LYVR,Belgrade
BTS,LZIB,Bratislava
KSC,LZKZ,Bratislava
\N,LZMC,Bratislava
PZY,LZPP,Bratislava
SLD,LZSL,Bratislava
\N,LZTN,Bratislava
TAT,LZTT,Bratislava
NCA,MBNC,Grand_Turk
PLS,MBPV,Grand_Turk
XSC,MBSC,Grand_Turk
\N,MDAB,Santo_Domingo
BRX,MDBH,Santo_Domingo
CBJ,MDCR,Santo_Domingo
LRM,MDLR,Santo_Domingo
PUJ,MDPC,Santo_Domingo
POP,MDPP,Santo_Domingo
SDQ,MDSD,Santo_Domingo
\N,MDSI,Santo_Domingo
STI,MDST,Santo_Domingo
\N,MGBN,Guatemala
CBV,MGCB,Guatemala
GUA,MGGT,Guatemala
RER,MGRT,Guatemala
GSJ,MGSJ,Guatemala
LCE,MHLC,Tegucigalpa
SAP,MHLM,Tegucigalpa
GJA,MHNJ,Tegucigalpa
RTB,MHRO,Tegucigalpa
TEA,MHTE,Tegucigalpa
TGU,MHTG,Tegucigalpa
TJI,MHTJ,Tegucigalpa
OCJ,MKBS,Jamaica
KIN,MKJP,Jamaica
MBJ,MKJS,Jamaica
POT,MKKJ,Jamaica
KTP,MKTP,Jamaica
ACA,MMAA,Mexico_City
NTR,MMAN,Mexico_City
AGU,MMAS,Mexico_City
HUX,MMBT,Mexico_City
CVJ,MMCB,Mexico_City
ACN,MMCC,Mexico_City
CME,MMCE,Mexico_City
NCG,MMCG,Mazatlan
\N,MMCH,Mexico_City
CUL,MMCL,Mazatlan
CTM,MMCM,Cancun
CEN,MMCN,Hermosillo
CPE,MMCP,Mexico_City
CJS,MMCS,Mazatlan
CUU,MMCU,Mazatlan
CVM,MMCV,Mexico_City
CZM,MMCZ,Cancun
DGO,MMDO,Mexico_City
TPQ,MMEP,Mazatlan
ESE,MMES,Tijuana
GDL,MMGL,Mexico_City
GYM,MMGM,Hermosillo
TCN,MMHC,Mexico_City
HMO,MMHO,Hermosillo
CLQ,MMIA,Mexico_City
ISJ,MMIM,Cancun
SLW,MMIO,Mexico_City
IZT,MMIT,Mexico_City
LZC,MMLC,Mexico_City
LMM,MMLM,Mazatlan
BJX,MMLO,Mexico_City
LAP,MMLP,Mazatlan
LTO,MMLT,Mazatlan
MAM,MMMA,Mexico_City
MID,MMMD,Mexico_City
MXL,MMML,Tijuana
MLM,MMMM,Mexico_City
MTT,MMMT,Mexico_City
LOV,MMMV,Mexico_City
MEX,MMMX,Mexico_City
MTY,MMMY,Mexico_City
MZT,MMMZ,Mazatlan
NOG,MMNG,Hermosillo
NLD,MMNL,Mexico_City
OAX,MMOX,Mexico_City
PAZ,MMPA,Mexico_City
PBC,MMPB,Mexico_City
\N,MMPC,Mexico_City
PPE,MMPE,Hermosillo
PDS,MMPG,Mexico_City
UPN,MMPN,Mexico_City
PVR,MMPR,Mexico_City
PXM,MMPS,Mexico_City
QRO,MMQT,Mexico_City
REX,MMRX,Mexico_City
SJD,MMSD,Mazatlan
SFH,MMSF,Tijuana
SLP,MMSP,Mexico_City
\N,MMTA,Mexico_City
\N,MMTB,Mexico_City
TRC,MMTC,Mexico_City
TGZ,MMTG,Mexico_City
TIJ,MMTJ,Tijuana
TAM,MMTM,Mexico_City
TSL,MMTN,Mexico_City
TLC,MMTO,Mexico_City
TAP,MMTP,Mexico_City
CUN,MMUN,Cancun
VSA,MMVA,Mexico_City
VER,MMVR,Mexico_City
ZCL,MMZC,Mexico_City
ZIH,MMZH,Mexico_City
ZMM,MMZM,Mexico_City
ZLO,MMZO,Mexico_City
\N,MMZP,Mexico_City
BEF,MNBL,Managua
\N,MNBR,Managua
\N,MNLN,Managua
MGA,MNMG,Managua
PUZ,MNPC,Managua
BOC,MPBO,Panama
CHX,MPCH,Panama
DAV,MPDA,Panama
BLB,MPHO,Panama
PAC,MPMG,Panama
SYP,MPSA,Panama
PTY,MPTO,Panama
BAI,MRBA,Costa_Rica
OTR,MRCC,Costa_Rica
JAP,MRCH,Costa_Rica
\N,MREC,Costa_Rica
\N,MRFI,Costa_Rica
GLF,MRGF,Costa_Rica
GPL,MRGP,Costa_Rica
LIR,MRLB,Costa_Rica
LSL,MRLC,Costa_Rica
LIO,MRLM,Costa_Rica
NOB,MRNS,Costa_Rica
SJO,MROC,Costa_Rica
\N,MRPD,Costa_Rica
PMZ,MRPM,Costa_Rica
XQP,MRQP,Costa_Rica
\N,MRSG,Costa_Rica
TOO,MRSV,Costa_Rica
SAL,MSLP,El_Salvador
\N,MSSS,El_Salvador
CYA,MTCA,Port-au-Prince
CAP,MTCH,Port-au-Prince
JAK,MTJA,Port-au-Prince
PAP,MTPP,Port-au-Prince
BCA,MUBA,Havana
BYM,MUBY,Havana
AVI,MUCA,Havana
CCC,MUCC,Havana
CFG,MUCF,Havana
CYO,MUCL,Havana
CMW,MUCM,Havana
SCU,MUCU,Havana
\N,MUFL,Havana
NBW,MUGM
GAO,MUGT,Havana
HAV,MUHA,Havana
HOG,MUHG,Havana
LCL,MULM,Havana
MOA,MUMO,Havana
MZO,MUMZ,Havana
GER,MUNG,Havana
UPB,MUPB,Havana
QPD,MUPR,Havana
\N,MUSA,Havana
SNU,MUSC,Havana
\N,MUSL,Havana
SZJ,MUSN,Havana
USS,MUSS,Havana
VRA,MUVR,Havana
VTU,MUVT,Havana
CYB,MWCB,Cayman
GCM,MWCR,Cayman
MAY,MYAB,Nassau
ASD,MYAF,Nassau
MHH,MYAM,Nassau
SAQ,MYAN,Nassau
AXP,MYAP,Nassau
\N,MYAS,Nassau
TCB,MYAT,Nassau
CCZ,MYBC,Nassau
GHC,MYBG,Nassau
BIM,MYBS,Nassau
GGT,MYEF,Nassau
\N,MYEG,Nassau
ELH,MYEH,Nassau
GHB,MYEM,Nassau
NMC,MYEN,Nassau
RSD,MYER,Nassau
TYM,MYES,Nassau
FPO,MYGF,Nassau
IGA,MYIG,Nassau
LGI,MYLD,Nassau
SML,MYLS,Nassau
MYG,MYMM,Nassau
NAS,MYNN,Nassau
DCT,MYRD,Nassau
RCY,MYRP,Nassau
ZSA,MYSM,Nassau
BZE,MZBZ,Belize
AIT,NCAI,Rarotonga
RAR,NCRG,Rarotonga
NAN,NFFN,Fiji
SUV,NFNA,Fiji
TBU,NFTF,Tongatapu
VAV,NFTV,Tongatapu
TRW,NGTA,Tarawa
TBF,NGTE
WLS,NLWW,Wallis
APW,NSFA,Apia
PPG,NSTU,Pago_Pago
RUR,NTAR
TUB,NTAT,Tahiti
AAA,NTGA,Tahiti
FGU,NTGB,Tahiti
TIH,NTGC,Tahiti
REA,NTGE
FAV,NTGF,Tahiti
XMH,NTGI,Tahiti
GMR,NTGJ,Gambier
KKR,NTGK,Tahiti
MKP,NTGM,Tahiti
PKP,NTGP,Tahiti
TKP,NTGT,Tahiti
AXR,NTGU,Tahiti
MVT,NTGV,Tahiti
TKX,NTKR,Tahiti
NHV,NTMD,Marquesas
BOB,NTTB,Tahiti
RGI,NTTG,Tahiti
HUH,NTTH,Tahiti
MOZ,NTTM,Tahiti
HOI,NTTO
MAU,NTTP,Tahiti
RFP,NTTR,Tahiti
VLI,NVVV,Efate
KNQ,NWWD,Noumea
KOC,NWWK,Noumea
LIF,NWWL,Noumea
GEA,NWWM,Noumea
MEE,NWWR,Noumea
TOU,NWWU,Noumea
UVE,NWWV,Noumea
NOU,NWWW,Noumea
AKL,NZAA,Auckland
TUO,NZAP,Auckland
AMZ,NZAR,Auckland
CHC,NZCH,Auckland
CHT,NZCI,Chatham
DUD,NZDN,Auckland
GIS,NZGS,Auckland
GTN,NZGT,Auckland
HKK,NZHK,Auckland
HLZ,NZHN,Auckland
\N,NZHS,Auckland
KKE,NZKK,Auckland
KAT,NZKT,Auckland
ALR,NZLX,Auckland
MON,NZMC,Auckland
TEU,NZMO,Auckland
MRO,NZMS,Auckland
NPL,NZNP,Auckland
NSN,NZNS,Auckland
IVC,NZNV,Auckland
OHA,NZOH,Auckland
OAM,NZOU,Auckland
PMR,NZPM,Auckland
PPQ,NZPP,Auckland
ZQN,NZQN,Auckland
ROT,NZRO,Auckland
\N,NZRU,Auckland
\N,NZSP,South_Pole
TRG,NZTG,Auckland
TIU,NZTU,Auckland
TWZ,NZUK,Auckland
BHE,NZWB,Auckland
\N,NZWD,South_Pole
WKA,NZWF,Auckland
\N,NZWG,Auckland
WHK,NZWK,Auckland
WLG,NZWN,Auckland
